和名,学名,成虫時期,生態の備考
モモスズメ,Marumba gaschkewitschii (Bremer & Grey, 1853),"年2化, 5~8月",年2化、5~8月に出現する。
タイワンクチバスズメ,Marumba saishiuana Okamoto, 1924),5~7月,5~7月に出現する。
ヒメクチバスズメ,Marumba jankowskii (Oberthür, 1880),"年1化, 6~7月",年1化、6~7月に出現する。山地や寒冷地に多い。
クチバスズメ,Marumba sperchius (Ménétriès, 1857),"年1化, 6~7月",年1化、6~7月に出現する。平地、低山地に普通に産する。
オオシモフリスズメ,Langia zenzeroides Moore, 1872),"年1化, 3~4月",年1化、3~4月に出現する。幼虫、蛹、成虫ともに発音する。
ギンボシスズメ,Parum colligata (Walker, 1856),"年2化, 6~9月",年2化、6~9月に出現する。南西諸島では多化性の可能性がある。
ヒサゴスズメ,Mimas christophi (Staudinger, 1887),"年1化, 6~7月",年1化、6~7月に出現する。
コウチスズメ,Smerinthus tokyonis Matsumura, 1921),"年1化または年2化, 6~8月",平地では年2化、山地では年1化、6~8月に出現する。未明に灯火に飛来する。
ヒメウチスズメ,Smerinthus caecus Ménétriès, 1957),"年1化, 6~8月",年1化、6~8月に出現する。
ウチスズメ,Smerinthus planus Walker, 1856),"年2化, 5~9月",年2化、5~9月に出現する。北海道では年1化。
ウンモンスズメ,Callambulyx tatarinovii (Bremer & Grey, 1852),"年2化, 5~9月",年2化、5~9月に出現する。
ノコギリスズメ,Laothoe amurensis (Staudinger, 1892),"年1化, 6~7月",年1化、6~7月に出現する。山地や寒冷地に生息する。
エゾスズメ,Phyllosphingia dissimilis (Bremer, 1861),"年1化, 5~7月",年1化、5~7月に出現する。
オオスカシバ,Cephonodes hylas (Linnaeus, 1771),"年2化, 6~9月",年2化、6~9月に出現する。昼行性で吸蜜のため訪花する。
リュウキュウオオスカシバ,Cephonodes xanthus Rothschild & Jordan, 1903),"年2化, 4~8月",先島諸島では4月上旬から、九州では5~8月に出現する。おそらく年2化。昼行性。
スキバホウジャク,Hemaris radians (Walker, 1856),"年2化, 5~9月",年2化、5~9月に出現する。昼行性。過去全国各地で記録があったが、近年は減少している。
クロスキバホウジャク,Hemaris affinis (Bremer, 1861),"年2化, 5~8月",年2化、5~8月に出現する。昼行性。
キョウチクトウスズメ,Daphnis nerii (Linnaeus, 1758),多化性, 5~11月,多化、5~11月に出現する。
トモエスズメ,Daphnis hypothous (Cramer, 1780),不明,1971年に四国での1♀の採集記録があるだけで、偶産と思われる。国外では多化性で5~11月に得られる。
クルマスズメ,Ampelophaga rubiginosa Bremer & Grey, 1853),"年1化, 6~8月",年1化、6~8月に出現する。
ハネナガブドウスズメ,Acosmeryx naga (Moore, 1858),"年1化, 6~8月",年1化、6~8月に出現する。
ブドウスズメ,Acosmeryx castanea Rothschild & Jordan, 1903),"年1化, 6~8月",年1化、6~8月に出現する。暖地に普通に産する。山地や寒冷地では土着していないと推定される。
ホシヒメホウジャク,Neogurelca himachala (Butler, 1875),"年2化, 6~10月",年2化、6~7月と8~10月に出現する。昼に飛翔するが、夜間灯火にも飛来する。成虫越冬する。
ヒメホウジャク,Neogurelca hyas (Walker, 1856),8~9月,8~9月に採集されている。夕刻飛翔することが多い。
ホウジャク,Macroglossum stellatarum (Linnaeus, 1758),"年2化, 7~10月",年2化、7~10月に出現する。成虫で越冬する。
ヒメクロホウジャク,Macroglossum bombylans Boisduval, 1875),5~10月,5~10月に出現する。
フリッツェホウジャク,Macroglossum fritzei Rothschild & Jordan, 1903),"年2化, 6~10月",本州中部では年2化、6~10月に出現する。成虫越冬。灯火にもよく飛来する。
アトボシホウジャク,Macroglossum corythus Walker, 1856),7~10月,7~10月に出現する。南西諸島のものは昼行性だが、九州、大隅諸島から記録されているものは灯火に飛来している。
ファロオオホウジャク,Macroglossum faro (Cramer, 1780),7~10月,7~10月に採集されている。夕刻に花に吸密に訪れるが、灯火に飛来することがある。まれな種である。
イチモンジホウジャク,Macroglossum heliophilum Boisduval, 1875),7~10月,7~10月に出現する。
シロオビホウジャク,Macroglossum mediovitta Rothschild & Jordan, 1903),3~10月,3~10月に出現する。くわしい化性は不明。
ネグロホウジャク,Macroglossum passalus (Drury, 1773),3~10月,3~10月に出現する。くわしい化性は不明。未明に灯火に飛来することがある。
オビホウジャク,Macroglossum poecilum Rothschild & Jordan, 1903),7~9月,7~9月に出現する。くわしい化性は不明。
チビホウジャク,Macroglossum neotroglodytus Kitching & Cadiou, 2000),7~9月,7~9月に採集されている。得られた個体数は非常に少ないことから土着かどうかは疑問である。
ホシホウジャク,Macroglossum pyrrhosticta Butler, 1875),"年2~3化, 7~11月",年2~3化、7~11月に出現する。本種は飛翔分散をする性質があり、南方定点観測船上でも採集されている。日本産本属中最普通種。
クロホウジャク,Macroglossum saga Butler, 1878),4~11月,4~11月に出現する。本種は成虫越冬のため、越冬後の個体が4~6月、灯火に飛来する。
クロオビホウジャク,Macroglossum sitiene (Walker, 1856),8~9月,8~9月に採集されているが少ない。
イブキスズメ,Hyles gallii (Rottemburg, 1775),"年1化, 6~8月",年1化、6~8月に出現する。高原に産し、成虫は得にくいか。幼虫採集は容易である。
アカオビスズメ,Hyles livornica (Esper, 1779),7~9月,7~9月に採集されている。
ベニスズメ,Deilephila elpenor (Linnaeus, 1758),"年2化, 4~9月",年2化、4~9月に出現する。
ヒメスズメ,Deilephila askoldensis (Oberthür, 1879),"年1化, 6~9月",年1化、6~9月に出現する。産地は極限され、火山性草原や河川敷などで見られる。
シタベニセスジスズメ,Hippotion celerio (Linnaeus, 1758),4~10月,4~10月に出現する。1980年代に南西諸島に分布を広げたものと思われるが、2010年現在では市街地においても見られる。
モトグロシタベニスズメ,Hippotion echeclus (Boisduval, 1875),7月,沖縄島で採集された1例しか記録がなく、偶産と考えられる。国外では7月に得られている。
コシタベニスズメ,Hippotion boerhaviae (Fabricius, 1775),3月,西表島で3月に採集された個体のみが知られる。
マメシタベニスズメ,Hippotion rosetta Swinhoe, 1892),3~11月,3月から11月に採集されている。
オバナワスズメ,Hippotion velox (Fabricius, 1793),4~11月,4月から11月に採集されている。
シタベニスズメ,Theretra alecto (Linnaeus, 1758),5~10月,5月から10月に出現する。
サツマスズメ,Theretra clotho (Drury, 1773),5~10月,5月から10月に出現する。
キイロスズメ,Theretra nessus (Drury, 1773),"年2化, 5~10月",年2化、5月から10月に出現する。平地、低地に普通である。
セスジスズメ,Theretra oldenlandiae (Fabricius, 1775),"年2化, 5~10月",年2化、5月から10月に出現する。各地に普通である。
コスズメ,Theretra japonica (Boisduval, 1869),"年2化, 5~9月",年2化、5月から9月に出現する。各地に普通である。
タイワンベニスズメ,Theretra suffusa (Walker, 1856),5~10月,中国南部では5月から10月に採集されている。
イッポンセスジスズメ,Theretra silhetensis (Walker, 1856),5~10月,5月から10月に出現する。
ミドリスズメ,Pergesa actea (Cramer, 1779),3~10月,3月から10月に出現する。
ビロードスズメ,Rhagastis mongoliana (Butler, 1875),"年2化, 5~9月",年2化、5月から9月に出現する。
ミスジビロードスズメ,Rhagastis trilineata Matsumura, 1921),6~9月,6月から9月に出現する。
